SUBCATEGORY,id_SubCategory
All Accessories and Equipment,1
All Clothing,2
All Shoes,3
Bags and Backpacks,4
Basketball,5
Football,6
Hats,7
Hoodies and Sweatshirts,8
Jackets,9
Jordan,10
Kits and Jerseys,11
Leggings,12
Lifestyle,13
Matching Sets,14
Nike By You,15
Running,16
Shorts,17
Skateboarding,18
Skirts and Dresses,19
Socks,20
Sport Clothing,21
Sports Bras,22
Swimwear,23
Tops and T-Shirts,24
Tracksuits,25
Training and Gym,26
Trousers,27
Trousers and Leggings,28
Trousers and Tights,29
